NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
2.0,1.0,2.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,3.0,0.0,0.0,0.0,0.105,0.092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,4.0,96.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,43.0,15.0,1.0,2.0,1.0,0.516,0.708,0.0,1.0,0.0,1.0,1.0,0.348,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.42,1.0,1.0,0.239,0.985,1.0
6.0,2.0,5.0,104.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,38.0,56.0,25.0,1.0,2.0,1.0,0.673,0.837,0.0,1.0,1.0,1.0,1.0,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.605,1.0,1.0,0.301,0.833,1.0
5.0,3.0,6.0,110.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,57.0,22.0,1.0,2.0,1.0,0.65,0.876,0.0,1.0,0.0,1.0,1.0,0.297,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.548,1.0,1.0,0.192,0.979,1.0
5.0,3.0,5.0,86.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,50.0,24.0,1.0,2.0,1.0,0.74,0.953,0.0,1.0,0.0,1.0,1.0,0.336,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.525,1.0,1.0,0.175,1.153,1.0
4.0,1.0,2.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,5.0,0.0,0.0,0.0,0.0,0.084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,3.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,34.0,7.0,0.0,1.0,0.0,0.204,0.333,1.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.105,0.0,1.0,0.0,0.0,0.0
3.0,3.0,4.0,99.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,41.0,12.0,1.0,2.0,1.0,0.565,0.763,0.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.472,1.0,1.0,0.222,0.991,1.0
2.0,3.0,5.0,90.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,40.0,14.0,1.0,2.0,1.0,0.553,0.685,0.0,1.0,0.0,1.0,1.0,0.317,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.358,1.0,1.0,0.169,1.183,1.0
4.0,2.0,3.0,89.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,25.0,41.0,9.0,1.0,1.0,1.0,0.434,0.65,0.0,1.0,0.0,1.0,1.0,0.224,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.328,1.0,0.0,0.097,1.01,1.0
3.0,3.0,5.0,93.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,43.0,12.0,1.0,2.0,1.0,0.489,0.581,0.0,1.0,0.0,1.0,1.0,0.266,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.371,1.0,1.0,0.179,0.937,1.0
3.0,2.0,4.0,67.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,35.0,10.0,1.0,1.0,1.0,0.533,0.49,0.0,1.0,0.0,1.0,1.0,0.172,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.274,1.0,0.0,0.089,0.989,1.0
4.0,1.0,2.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,6.0,0.0,0.0,0.0,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.0,7.0,144.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,39.0,67.0,29.0,1.0,2.0,1.0,0.679,0.848,0.0,1.0,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.654,1.0,1.0,0.301,1.01,1.0
4.0,2.0,3.0,96.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,28.0,45.0,14.0,1.0,1.0,1.0,0.426,0.413,0.0,1.0,1.0,1.0,1.0,0.161,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.248,1.0,0.0,0.086,1.018,1.0
5.0,2.0,7.0,119.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,37.0,60.0,22.0,1.0,2.0,1.0,0.947,0.782,0.0,1.0,1.0,1.0,1.0,0.453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.682,1.0,1.0,0.25,0.933,1.0
2.0,1.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,2.0,0.0,0.0,0.0,0.119,0.096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,5.0,82.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,27.0,42.0,11.0,1.0,1.0,1.0,0.44,0.542,0.0,1.0,1.0,1.0,1.0,0.205,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.261,1.0,0.0,0.09,1.151,1.0
2.0,1.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,3.0,0.0,0.0,0.0,0.088,0.089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,3.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,0.0,0.0,0.0,0.0,0.104,0.235,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.147,0.0,0.0
1.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,21.0,43.0,10.0,1.0,1.0,1.0,0.414,0.544,0.0,1.0,1.0,1.0,1.0,0.238,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.304,1.0,0.0,0.113,1.086,1.0
2.0,1.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,3.0,0.0,0.0,0.0,0.091,0.108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,4.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,0.0,0.0,0.0,0.0,0.106,0.231,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.19,0.0,0.0
2.0,2.0,3.0,63.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,6.0,0.0,1.0,0.0,0.179,0.265,1.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.088,0.0,1.0,0.0,0.0,0.0
5.0,3.0,5.0,88.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,53.0,18.0,1.0,2.0,1.0,0.605,0.692,0.0,1.0,0.0,1.0,1.0,0.259,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.429,1.0,1.0,0.227,0.955,1.0
1.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,3.0,0.0,0.0,0.0,0.11,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,6.0,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,2.0,6.0,120.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,51.0,20.0,1.0,2.0,1.0,0.769,0.832,0.0,1.0,1.0,1.0,1.0,0.334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.516,1.0,1.0,0.242,0.845,1.0
2.0,1.0,2.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,3.0,0.0,0.0,0.0,0.108,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,3.0,5.0,105.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,41.0,22.0,1.0,2.0,1.0,0.767,0.918,0.0,1.0,0.0,1.0,1.0,0.358,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.549,1.0,1.0,0.212,1.049,1.0
3.0,1.0,2.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,5.0,0.0,0.0,0.0,0.0,0.098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,5.0,0.0,0.0,0.0,0.0,0.116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,4.0,101.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,41.0,13.0,1.0,2.0,1.0,0.55,0.561,0.0,1.0,0.0,1.0,1.0,0.358,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.369,1.0,1.0,0.162,1.017,1.0
4.0,1.0,2.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,5.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,4.0,75.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,52.0,15.0,1.0,2.0,1.0,0.689,0.828,0.0,1.0,0.0,1.0,1.0,0.244,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.403,1.0,1.0,0.235,1.061,1.0
4.0,2.0,4.0,92.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,21.0,35.0,13.0,1.0,1.0,1.0,0.463,0.556,0.0,1.0,1.0,1.0,1.0,0.204,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.326,1.0,0.0,0.087,1.152,1.0
3.0,3.0,3.0,87.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,38.0,16.0,1.0,2.0,1.0,0.711,0.59,0.0,1.0,0.0,1.0,1.0,0.36,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.46,1.0,1.0,0.237,0.919,1.0
4.0,3.0,5.0,85.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,42.0,17.0,1.0,2.0,1.0,0.815,0.855,0.0,1.0,0.0,1.0,1.0,0.286,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.526,1.0,1.0,0.227,0.83,1.0
3.0,2.0,4.0,95.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,24.0,36.0,14.0,1.0,1.0,1.0,0.424,0.438,0.0,1.0,1.0,1.0,1.0,0.187,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.316,1.0,0.0,0.087,0.897,1.0
3.0,2.0,5.0,77.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,27.0,44.0,8.0,1.0,1.0,1.0,0.568,0.58,0.0,1.0,0.0,1.0,1.0,0.174,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.304,1.0,0.0,0.111,1.057,1.0
1.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,3.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,6.0,0.0,1.0,0.0,0.176,0.292,1.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.114,0.0,1.0,0.0,0.0,0.0
5.0,3.0,4.0,102.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,42.0,22.0,1.0,2.0,1.0,0.623,0.941,0.0,1.0,0.0,1.0,1.0,0.268,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.593,1.0,1.0,0.214,0.912,1.0
1.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,5.0,0.0,0.0,0.0,0.0,0.103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.0,6.0,110.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,71.0,24.0,1.0,2.0,1.0,0.933,0.767,0.0,1.0,1.0,1.0,1.0,0.473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.51,1.0,1.0,0.252,1.118,1.0
2.0,2.0,3.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,7.0,0.0,1.0,0.0,0.225,0.332,1.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.086,0.0,1.0,0.0,0.0,0.0
2.0,1.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,0.0,0.0,0.0,0.0,0.103,0.235,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.072,0.0,0.0
6.0,2.0,6.0,101.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,30.0,55.0,22.0,1.0,2.0,1.0,0.696,0.907,0.0,1.0,1.0,1.0,1.0,0.477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.718,1.0,1.0,0.323,0.99,1.0
5.0,1.0,2.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,5.0,0.0,0.0,0.0,0.0,0.115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,3.0,4.0,87.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,50.0,23.0,1.0,2.0,1.0,0.754,0.737,0.0,1.0,0.0,1.0,1.0,0.314,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.552,1.0,1.0,0.181,1.032,1.0
